url,TransactionAmount,CustomerAge,AccountBalance,Location,label
https://www.m015.com,14.09,70,5112.21,Sylhet,0
https://www.m052.com,376.24,68,13758.91,Dhaka,0
https://www.m009.com,126.29,19,1122.35,Rajshahi,0
https://www.m002.com,184.5,26,8569.06,Dhaka,0
https://www.m091.com,13.45,26,7429.4,Dhaka,0
https://www.m054.com,92.15,18,781.68,Dhaka,0
https://www.m019.com,7.08,37,13316.71,Rajshahi,0
https://www.m020.com,171.42,67,2796.24,Dhaka,0
https://www.m035.com,106.23,51,9095.14,Khulna,0
https://www.m007.com,815.96,55,1021.88,Sylhet,0
https://www.m073.com,17.78,52,7599.52,Dhaka,0
https://www.m030.com,190.02,21,1528.81,Dhaka,0
https://www.m057.com,494.52,24,1620.02,Khulna,0
https://www.m025.com,781.76,26,189.69,Dhaka,0
https://www.m017.com,166.99,18,299.93,Khulna,0
https://www.m025.com,465.45,36,3465.54,Khulna,0
https://www.m048.com,555.8,19,1131.26,Chittagong,0
https://www.m059.com,492.93,39,5109.97,Khulna,0
https://www.m054.com,18.68,59,7948.37,Khulna,0
https://www.m039.com,71.48,18,6568.59,Chittagong,0
https://www.m040.com,59.32,71,5750.89,Chittagong,0
https://www.m065.com,85.77,38,9146.19,Chittagong,0
https://www.m022.com,52.2,39,8974.93,Khulna,0
https://www.m083.com,345.84,22,1402.5,Rajshahi,0
https://www.m028.com,145.54,21,1930.96,Chittagong,0
https://www.m043.com,7.49,65,3634.67,Chittagong,0
https://www.m029.com,246.93,23,673.35,Sylhet,0
https://www.m008.com,40.32,37,2686.52,Chittagong,0
https://www.m092.com,127.45,44,1772.06,Sylhet,0
https://www.m043.com,56.17,27,1351.69,Chittagong,0
https://www.m091.com,28.31,59,8334.47,Chittagong,0
https://www.m053.com,59.12,29,9823.64,Dhaka,0
https://www.m007.com,396.45,49,9690.15,Khulna,0
https://www.m094.com,877.81,22,399.0,Rajshahi,0
https://www.m002.com,255.26,45,14815.87,Rajshahi,0
https://www.m002.com,124.76,49,5764.72,Chittagong,0
https://www.m028.com,78.13,26,900.61,Dhaka,0
https://www.m074.com,649.28,75,4875.86,Khulna,0
https://www.m048.com,795.31,66,7914.88,Sylhet,0
https://www.m040.com,335.63,55,1019.39,Sylhet,0
https://www.m014.com,328.47,63,4323.66,Khulna,0
https://www.m046.com,34.02,38,14214.48,Rajshahi,0
https://www.m044.com,241.42,57,13357.02,Dhaka,0
https://www.m009.com,55.32,19,241.79,Sylhet,0
https://www.m005.com,304.31,27,868.61,Sylhet,0
https://www.m051.com,435.27,74,4673.28,Rajshahi,0
https://www.m070.com,164.49,26,1509.27,Sylhet,0
https://www.m090.com,510.24,19,781.7,Rajshahi,0
https://www.m023.com,626.9,26,265.51,Sylhet,0
https://www.m055.com,22.01,41,1335.09,Khulna,0
https://www.m040.com,425.34,69,3907.54,Dhaka,0
https://www.m015.com,424.56,51,5183.85,Sylhet,0
https://www.m078.com,85.43,67,14904.9,Khulna,0
https://www.m036.com,169.5,28,918.88,Khulna,0
https://www.m095.com,104.63,62,4477.78,Rajshahi,0
https://www.m052.com,316.95,25,1324.03,Sylhet,0
https://www.m095.com,60.54,57,3534.93,Sylhet,0
https://www.m075.com,292.56,68,4638.37,Sylhet,0
https://www.m064.com,386.52,48,5630.61,Khulna,0
https://www.m064.com,112.07,23,930.3,Rajshahi,0
https://www.m094.com,568.52,46,5499.91,Khulna,0
https://www.m087.com,263.99,79,4175.02,Chittagong,0
https://www.m097.com,349.64,48,6651.62,Sylhet,0
https://www.m001.com,601.4,56,8458.29,Dhaka,0
https://www.m071.com,5.77,50,13988.12,Khulna,0
https://www.m003.com,201.33,42,2585.07,Dhaka,0
https://www.m005.com,298.42,56,3014.75,Khulna,0
https://www.m063.com,521.06,25,1951.42,Sylhet,0
https://www.m057.com,117.28,60,3665.77,Chittagong,0
https://www.m040.com,189.12,32,977.01,Dhaka,0
https://www.m091.com,133.55,44,3846.28,Khulna,0
https://www.m066.com,143.21,35,6374.82,Chittagong,0
https://www.m070.com,24.77,62,5866.01,Khulna,0
https://www.m046.com,233.92,26,6537.62,Rajshahi,0
https://www.m036.com,1212.51,20,605.95,Khulna,0
https://www.m066.com,232.12,37,6689.87,Dhaka,0
https://www.m060.com,162.63,22,634.17,Khulna,0
https://www.m095.com,91.53,44,14676.05,Chittagong,0
https://www.m045.com,120.29,19,1362.39,Chittagong,0
https://www.m032.com,174.25,50,10528.34,Khulna,0
https://www.m074.com,183.71,38,552.52,Rajshahi,0
https://www.m081.com,345.39,58,6451.96,Rajshahi,0
https://www.m004.com,922.55,63,4715.84,Chittagong,0
https://www.m028.com,259.91,49,7176.86,Chittagong,0
https://www.m030.com,154.71,34,1523.72,Sylhet,0
https://www.m012.com,1340.19,54,8654.28,Dhaka,0
https://www.m033.com,24.56,64,9869.93,Sylhet,0
https://www.m054.com,568.07,48,10556.81,Khulna,0
https://www.m043.com,9.61,58,12883.91,Khulna,0
https://www.m022.com,392.96,24,791.65,Chittagong,0
https://www.m052.com,716.93,60,4064.02,Chittagong,0
https://www.m009.com,223.85,53,2929.91,Khulna,0
https://www.m049.com,230.66,21,618.05,Dhaka,0
https://www.m047.com,442.12,19,1375.8,Sylhet,0
https://www.m093.com,644.17,29,1143.52,Khulna,0
https://www.m048.com,508.68,51,7708.41,Khulna,0
https://www.m002.com,858.63,27,1872.96,Chittagong,0
https://www.m007.com,25.36,57,201.04,Dhaka,0
https://www.m028.com,147.62,71,2115.8,Chittagong,0
https://www.m004.com,115.02,37,7643.66,Dhaka,0
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
